doi,url,status,venue,year
10.1016/j.jpdc.2010.11.015,,CLOSED,J. Parallel Distributed Comput.,2011
10.1016/j.jneuroim.2018.05.005,,CLOSED,Journal of Neuroimmunology,2018
10.1097/PDM.0b013e3181c9a8a8,,CLOSED,Diagnostic molecular pathology (Print),2010
10.1186/2050-5736-1-24,https://jtultrasound.biomedcentral.com/track/pdf/10.1186/2050-5736-1-24,HYBRID,Journal of Therapeutic Ultrasound,2014
10.1016/j.envres.2017.05.020,https://europepmc.org/articles/pmc5546150?pdf=render,GREEN,Environmental Research,2017
10.1097/PSY.0000000000000156,https://europepmc.org/articles/pmc4397126?pdf=render,GREEN,Psychosomatic Medicine,2015
10.1097/PAP.0b013e31820cb506,,CLOSED,Advances in Anatomic Pathology,2011
10.1016/j.cpm.2010.06.008,,CLOSED,Clinics in Podiatric Medicine and Surgery,2010
10.1089/jop.2010.0133,,CLOSED,Journal of Ocular Pharmacology and Therapeutics,2011
10.1038/ncomms7499,https://www.nature.com/articles/ncomms7499.pdf,GOLD,Nature Communications,2015
10.1109/HAPTICS.2018.8357162,,CLOSED,IEEE Haptics Symposium,2018
10.1109/ICRA.2018.8460208,https://hal.inria.fr/hal-01729960/file/paper.pdf,GREEN,IEEE International Conference on Robotics and Automation,2018
10.1353/lib.0.0080,https://www.ideals.illinois.edu/items/15400/bitstreams/54504/stream,GREEN,Library Trends,2010
10.1016/j.scitotenv.2008.10.022,,CLOSED,Science of the Total Environment,2009
10.1080/10256016.2015.1007050,,CLOSED,Isotopes in environmental and health studies,2015
10.1002/bies.201500165,https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1002/bies.201500165,BRONZE,Bioessays,2016
10.1186/1471-2164-14-812,https://bmcgenomics.biomedcentral.com/track/pdf/10.1186/1471-2164-14-812,GOLD,BMC Genomics,2013
10.1186/1471-2091-9-11,https://bmcbiochem.biomedcentral.com/track/pdf/10.1186/1471-2091-9-11,HYBRID,BMC Biochemistry,2008
10.1111/j.1582-4934.2011.01318.x,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1582-4934.2011.01318.x,HYBRID,Journal of Cellular and Molecular Medicine,2011
10.1002/jor.24329,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jor.24329,BRONZE,Journal of Orthopaedic Research,2019
10.3390/s8074413,https://www.mdpi.com/1424-8220/8/7/4413/pdf?version=1403308675,GOLD,Italian National Conference on Sensors,2008
10.1016/j.jmbbm.2014.12.004,,CLOSED,Journal of The Mechanical Behavior of Biomedical Materials,2015
10.1109/BMEI.2008.263,,CLOSED,International Conference on BioMedical Engineering and Informatics,2008
10.1063/1.4865135,,CLOSED,Review of Scientific Instruments,2014
10.1145/3185512.3178968,,CLOSED,eLearn Mag.,2018
10.1007/s13337-015-0254-z,https://europepmc.org/articles/pmc4585060?pdf=render,GREEN,VirusDisease,2015
10.5754/HGE12537,,CLOSED,Hepato-Gastroenterology,2012
10.1002/acm2.12841,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/acm2.12841,GOLD,Journal of Applied Clinical Medical Physics,2020
10.3109/13668250.2010.519330,,CLOSED,Journal of Intellectual & Developmental Disability,2010
10.1186/s12889-015-1595-7,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-015-1595-7,GOLD,BMC Public Health,2015
10.1016/j.fertnstert.2009.06.046,http://www.fertstert.org/article/S0015028209014198/pdf,BRONZE,Fertility and Sterility,2009
10.1016/j.ejca.2009.01.016,,CLOSED,European Journal of Cancer,2009
10.1186/s12891-016-1362-7,https://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-016-1362-7,GOLD,BMC Musculoskeletal Disorders,2017
10.1097/OLQ.0b013e3182787e5e,,CLOSED,Sexually Transmitted Diseases,2012
10.1093/ajcn/nqaa108,https://academic.oup.com/ajcn/article-pdf/112/1/208/33448131/nqaa108.pdf,BRONZE,American Journal of Clinical Nutrition,2020
10.1053/j.ajkd.2019.12.017,http://www.ajkd.org/article/S0272638620305308/pdf,HYBRID,American Journal of Kidney Diseases,2020
10.4045/tidsskr.11.0623,https://tidsskriftet.no/sites/default/files/pdf2012--410-3.pdf,GOLD,Tidsskrift for Den Norske Laegeforening,2012
10.1074/jbc.M112.394361,http://www.jbc.org/content/287/41/34646.full.pdf,HYBRID,Journal of Biological Chemistry,2012
10.1364/OE.22.0A1292,,CLOSED,Optics Express,2014
10.1039/d0dt00747a,,CLOSED,Dalton Transactions,2020
10.1016/j.saa.2018.05.052,,CLOSED,Spectrochimica Acta Part A - Molecular and Biomolecular Spectroscopy,2018
10.1021/nn300494k,http://arxiv.org/pdf/1210.1823,GREEN,ACS Nano,2012
10.1016/j.mathsocsci.2014.04.004,https://mpra.ub.uni-muenchen.de/35548/1/MPRA_paper_35548.pdf,GREEN,Mathematical Social Sciences,2014
10.1177/0308518X19858998,,CLOSED,Environment and Planning,2019
10.1007/s11136-009-9572-1,https://europepmc.org/articles/pmc2844855?pdf=render,GREEN,Quality of Life Research,2010
10.1177/0883073814541471,,CLOSED,Journal of Child Neurology,2015
10.1007/s10802-013-9739-7,,CLOSED,Journal of Abnormal Child Psychology,2013
10.1037/A0027757,https://europepmc.org/articles/pmc4557803?pdf=render,GREEN,Journal of Educational Psychology,2012
10.1037/spq0000082,,CLOSED,School psychology quarterly,2015
10.1145/1795234.1795301,,CLOSED,Participatory Design Conference,2008
10.1109/DEXA.2009.45,,CLOSED,2009 20th International Workshop on Database and Expert Systems Application,2009
10.1016/j.jss.2018.01.010,http://arxiv.org/pdf/1801.04644,GREEN,Journal of Systems and Software,2018
10.4018/IJMSTR.2015040105,,CLOSED,Int. J. Monit. Surveillance Technol. Res.,2015
10.1109/WI.2018.00-68,,CLOSED,International Conference on Wirtschaftsinformatik,2018
10.1109/ASP-DAC47756.2020.9045729,,CLOSED,Asia and South Pacific Design Automation Conference,2020
10.1016/j.isci.2020.101219,http://www.cell.com/article/S2589004220304041/pdf,GOLD,iScience,2020
10.1177/2057150X19892895,,CLOSED,,2020
10.1155/2020/6641461,https://downloads.hindawi.com/journals/scientifica/2020/6641461.pdf,GOLD,Scientifica,2020
10.1016/j.gene.2017.02.032,,CLOSED,Gene,2017
10.1371/journal.pone.0013288,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0013288&type=printable,GOLD,PLoS ONE,2010
10.2217/17435889.3.6.845,,CLOSED,Nanomedicine,2008
10.1080/00498254.2019.1694197,,CLOSED,Xenobiotica; the fate of foreign compounds in biological systems,2019
10.1016/j.physbeh.2016.05.004,,CLOSED,Physiology and Behavior,2016
10.1186/1556-276X-7-127,https://nanoscalereslett.springeropen.com/track/pdf/10.1186/1556-276X-7-127,GOLD,Nanoscale Research Letters,2012
10.1108/JKM-06-2014-0252,,CLOSED,Journal of Knowledge Management,2014
10.1093/humrep/dev225,https://academic.oup.com/humrep/article-pdf/30/11/2658/7067457/dev225.pdf,BRONZE,Human Reproduction,2015
10.1007/s12022-017-9487-2,https://europepmc.org/articles/pmc5552825?pdf=render,GREEN,Endocrine pathology,2017
10.1371/journal.pone.0189997,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0189997&type=printable,GOLD,PLoS ONE,2017
10.1038/s41598-017-04131-8,https://www.nature.com/articles/s41598-017-04131-8.pdf,GOLD,Scientific Reports,2017
10.1159/000362779,,CLOSED,Audiology and Neurotology,2014
10.1055/s-0031-1275247,https://europepmc.org/articles/pmc3312107?pdf=render,GREEN,Skull Base,2011
10.1002/jgc4.1244,,CLOSED,Journal of Genetic Counseling,2020
10.1016/j.vaccine.2010.04.066,http://pure-oai.bham.ac.uk/ws/files/8776946/Vaccine_2010.pdf,GREEN,Vaccine,2010
10.1039/B713845H,,CLOSED,Chemical Communications,2008
10.1177/1359105320906244,,CLOSED,Journal of Health Psychology,2020
10.1037/xge0000362,,CLOSED,Journal of experimental psychology. General,2017
10.1080/10494820.2020.1786406,https://www.tandfonline.com/doi/pdf/10.1080/10494820.2020.1786406?needAccess=true,HYBRID,Interactive Learning Environments,2020
10.1137/1.9781611973402.55,https://epubs.siam.org/doi/pdf/10.1137/1.9781611973402.55,BRONZE,ACM-SIAM Symposium on Discrete Algorithms,2014
10.1007/978-3-319-11740-9_8,,CLOSED,Rough Sets and Knowledge Technology,2014
10.1016/j.ympev.2017.11.006,,CLOSED,Molecular Phylogenetics and Evolution,2018
10.1039/c1em10553a,,CLOSED,Journal of Environmental Monitoring,2011
10.1080/08923973.2018.1455208,,CLOSED,Immunopharmacology and immunotoxicology,2018
10.1186/s13048-020-00697-6,https://ovarianresearch.biomedcentral.com/track/pdf/10.1186/s13048-020-00697-6,GOLD,Journal of Ovarian Research,2020
10.1111/exd.13697,,CLOSED,Experimental Dermatology,2018
10.1021/ar300034v,,CLOSED,Accounts of Chemical Research,2012
10.1039/c9nr07927k,https://repository.tudelft.nl/islandora/object/uuid%3A68d763e3-f3f2-40fd-ac0c-36b9749d321a/datastream/OBJ/download,GREEN,Nanoscale,2019
10.1504/IJSSC.2016.080283,,CLOSED,International Journal of Space-Based and Situated Computing,2016
10.1039/c9nr04726c,,CLOSED,Nanoscale,2019
10.1108/jd-06-2020-0108,,CLOSED,J. Documentation,2020
10.1002/ajmg.a.37105,,CLOSED,American Journal of Medical Genetics. Part A,2015
10.1001/archdermatol.2009.378,,CLOSED,Archives of Dermatology,2010
10.1016/j.ijpharm.2012.09.022,,CLOSED,International journal of pharmaceutics,2012
10.1016/j.biomaterials.2009.01.013,https://europepmc.org/articles/pmc2698791?pdf=render,GREEN,Biomaterials,2009
10.2337/dc17-1387,https://europepmc.org/articles/pmc5860832?pdf=render,GREEN,Diabetes Care,2018
10.1055/s-0036-1593477,https://europepmc.org/articles/pmc5115919?pdf=render,GREEN,Seminars in Plastic Surgery,2016
10.1249/JSR.0000000000000600,,CLOSED,Current sports medicine reports,2019
10.2147/MDER.S17551,https://www.dovepress.com/getfile.php?fileID=9207,GOLD,Medical devices,2011
10.1111/ajr.12496,,CLOSED,The Australian journal of rural health,2019
10.1080/14737159.2017.1364160,,CLOSED,Expert Review of Molecular Diagnostics,2017
10.1111/j.1365-2753.2010.01371.x,,CLOSED,Journal of Evaluation In Clinical Practice,2011
10.5005/JP-JOURNALS-10024-1755,https://doi.org/10.5005/jp-journals-10024-1755,BRONZE,Journal of Contemporary Dental Practice,2015
10.5935/1678-9741.20130040,,CLOSED,Revista Brasileira De Cirurgia Cardiovascular,2013
10.1016/j.jocn.2018.06.051,,CLOSED,Journal of clinical neuroscience,2018
10.1039/c9ra08825c,https://pubs.rsc.org/en/content/articlepdf/2019/ra/c9ra08825c,GOLD,RSC Advances,2019
10.1002/adsc.201300055,https://europepmc.org/articles/pmc3793232?pdf=render,GREEN,Advanced Synthesis and Catalysis,2013
10.1177/0738894219894735,,CLOSED,,2020
10.1016/j.automatica.2020.108947,,CLOSED,at - Automatisierungstechnik,2020
10.1109/TAC.2018.2832468,,CLOSED,IEEE Transactions on Automatic Control,2018
10.1177/0734242X16671588,,CLOSED,Waste Management Research,2016
10.1002/cbin.10514,,CLOSED,Cell Biology International,2015
10.1016/j.bbagen.2015.04.001,,CLOSED,Biochimica et Biophysica Acta,2015
10.1099/ijsem.0.001115,,CLOSED,International Journal of Systematic and Evolutionary Microbiology,2016
10.3390/v11111000,https://www.mdpi.com/1999-4915/11/11/1000/pdf?version=1572509522,GOLD,Viruses,2019
10.1089/ars.2014.6062,https://www.liebertpub.com/doi/pdf/10.1089/ars.2014.6062,BRONZE,Antioxidants and Redox Signaling,2015
10.1371/journal.pmed.0050117,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.0050117&type=printable,GOLD,PLoS Medicine,2008
10.1002/stem.1544,https://europepmc.org/articles/pmc3963447?pdf=render,GREEN,Stem Cells,2014
10.1007/s10661-016-5606-7,,CLOSED,Environmental Monitoring & Assessment,2016
10.1016/j.jmb.2014.02.004,https://europepmc.org/articles/pmc4038265?pdf=render,GREEN,Journal of Molecular Biology,2014
10.1021/acsnano.5b02096,,CLOSED,ACS Nano,2015
10.1364/OE.18.026332,,CLOSED,Optics Express,2010
10.1111/bjh.12167,https://europepmc.org/articles/pmc3609920?pdf=render,GREEN,British Journal of Haematology,2013
10.1111/asj.12523,,CLOSED,Animal science journal = Nihon chikusan Gakkaiho,2016
10.1016/j.oraloncology.2017.06.021,,CLOSED,Oral Oncology,2017
10.4187/respcare.03647,http://rc.rcjournal.com/content/respcare/60/4/540.full.pdf,BRONZE,Respiratory care,2015
10.1016/j.jchf.2019.09.007,,CLOSED,JACC. Heart failure,2019
10.1080/10376178.2016.1198236,,CLOSED,Contemporary Nurse: health care across the lifespan,2016
10.1080/01621424.2018.1553746,,CLOSED,Home Health Care Services Quarterly,2018
10.5367/oa.2014.0180,,CLOSED,,2014
10.1136/bmj.a980,,CLOSED,British medical journal,2008
10.5480/12-847.1,,CLOSED,Nursing Education Perspectives,2014
10.1080/02763869.2018.1548888,,CLOSED,Medical Reference Services Quarterly,2019
10.1007/978-3-319-28460-6_1,,CLOSED,International Workshop on Theorie and Applications of Formal Argumentation,2015
10.1109/CEC.2016.7743796,,CLOSED,IEEE Congress on Evolutionary Computation,2016
10.1109/IJCNN.2017.7965981,,CLOSED,IEEE International Joint Conference on Neural Network,2017
10.1109/BigComp48618.2020.0-106,,CLOSED,International Conference on Big Data and Smart Computing,2020
10.1109/IECON.2018.8591112,,CLOSED,Annual Conference of the IEEE Industrial Electronics Society,2018
10.1016/j.apradiso.2018.05.016,,CLOSED,Applied Radiation and Isotopes,2018
10.1177/1609406919872395,https://journals.sagepub.com/doi/pdf/10.1177/1609406919872395,GOLD,International Journal of Qualitative Methods,2019
10.1038/s41598-017-01172-x,https://www.nature.com/articles/s41598-017-01172-x.pdf,GOLD,Scientific Reports,2017
10.1152/ajpregu.00427.2016,https://www.physiology.org/doi/pdf/10.1152/ajpregu.00427.2016,BRONZE,American Journal of Physiology. Regulatory Integrative and Comparative Physiology,2017
10.1098/rstb.2014.0152,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2014.0152,HYBRID,Philosophical Transactions of the Royal Society B: Biological Sciences,2015
10.1007/s10753-018-0778-7,,CLOSED,Inflammation,2018
10.1093/humupd/dmr006,,CLOSED,Human Reproduction Update,2011
10.1111/pcmr.12430,,CLOSED,Pigment Cell & Melanoma Research,2016
10.1364/OE.23.021994,,CLOSED,Optics Express,2015
10.1177/1096348020944537,,CLOSED,,2020
10.1109/PIMRC.2010.5671868,,CLOSED,"21st Annual IEEE International Symposium on Personal, Indoor and Mobile Radio Communications",2010
10.20344/amp.4061,https://actamedicaportuguesa.com/revista/index.php/amp/article/download/4061/3781,GOLD,Acta Médica Portuguesa,2013
10.1097/MOT.0000000000000220,,CLOSED,Current Opinion in Organ Transplantation,2015
10.1111/J.1699-0463.1986.TB03027.X,,CLOSED,"Acta pathologica, microbiologica, et immunologica Scandinavica. Section B, Microbiology",2009
10.1007/s00261-017-1171-y,,CLOSED,Abdominal Radiology,2017
10.1177/000313481307901004,https://journals.sagepub.com/doi/pdf/10.1177/000313481307901004,BRONZE,The American surgeon,2013
10.1007/s00134-015-4191-5,,CLOSED,Intensive Care Medicine,2016
10.1155/2016/9132198,http://downloads.hindawi.com/journals/bmri/2016/9132198.pdf,GOLD,BioMed Research International,2016
10.1007/s11739-018-1949-0,,CLOSED,Internal and Emergency Medicine,2018
10.1016/j.jsams.2015.05.011,,CLOSED,Journal of Science and Medicine in Sport,2016
10.1515/cclm-2014-0744,,CLOSED,Clinical Chemistry and Laboratory Medicine,2015
10.1055/s-0037-1608870,,CLOSED,Central European Neurosurgery,2017
10.1016/j.bjid.2012.07.004,,CLOSED,Brazilian Journal of Infectious Diseases,2012
10.1136/bmjopen-2017-017053,https://bmjopen.bmj.com/content/bmjopen/7/9/e017053.full.pdf,GOLD,BMJ Open,2017
10.1016/j.phytochem.2016.09.004,,CLOSED,Phytochemistry,2016
10.1016/j.jchromb.2012.05.033,,CLOSED,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences",2012
10.1016/j.jada.2011.02.008,,CLOSED,Journal of the American Dietetic Association,2011
10.1177/0301006619887331,https://journals.sagepub.com/doi/pdf/10.1177/0301006619887331,BRONZE,Perception,2019
10.1007/s10896-015-9795-6,https://europepmc.org/articles/pmc5418584?pdf=render,GREEN,Journal of Family Violence,2016
10.1007/s11469-020-00367-0,https://link.springer.com/content/pdf/10.1007/s11469-020-00367-0.pdf,HYBRID,International Journal of Mental Health and Addiction,2020
10.3390/s20092533,https://www.mdpi.com/1424-8220/20/9/2533/pdf?version=1589338738,GOLD,Italian National Conference on Sensors,2020
10.1007/978-3-642-33704-8_10,,CLOSED,"Mathematical Methods, Models, and Architectures for Network Security Systems",2012
10.1109/IJCNN48605.2020.9207482,,CLOSED,IEEE International Joint Conference on Neural Network,2020
10.1109/JETCAS.2012.2222220,,CLOSED,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,2012
10.1109/TBME.2010.2082539,https://hal.inria.fr/inria-00476820/file/tbme10.pdf,GREEN,IEEE Transactions on Biomedical Engineering,2011
10.1007/978-3-030-46970-2_15,http://arxiv.org/pdf/2010.03204,GREEN,International Joint Conference on Biomedical Engineering Systems and Technologies,2019
10.1109/IGARSS.2014.6946420,,CLOSED,2014 IEEE Geoscience and Remote Sensing Symposium,2014
10.1016/j.ecoenv.2016.02.017,,CLOSED,Ecotoxicology and Environmental Safety,2016
10.1371/journal.pone.0031555,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0031555&type=printable,GOLD,PLoS ONE,2012
10.1074/jbc.M111.338145,http://www.jbc.org/content/287/20/16209.full.pdf,HYBRID,Journal of Biological Chemistry,2012
10.1016/j.celrep.2019.10.065,http://www.cell.com/article/S2211124719313798/pdf,GOLD,Cell Reports,2019
10.1007/s11095-018-2404-7,,CLOSED,Pharmaceutical Research,2018
10.4018/IJeC.2016100104,,CLOSED,Int. J. e Collab.,2016
10.1109/IMIS.2011.57,,CLOSED,2011 Fifth International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing,2011
10.1109/WCNC.2009.4917813,,CLOSED,IEEE Wireless Communications and Networking Conference,2009
10.1016/j.clinbiochem.2017.11.015,,CLOSED,Clinical Biochemistry,2017
10.1097/MD.0000000000015269,,CLOSED,Medicine,2019
10.1590/S0102-86502014000500007,http://www.scielo.br/pdf/acb/v29n5/0102-8650-acb-29-05-00328.pdf,GOLD,Acta Cirurgica Brasileira,2014
10.1016/j.jclinane.2016.04.001,,CLOSED,Journal of clinical anesthesia,2016
10.1093/AJE/KWW113,https://academic.oup.com/aje/article-pdf/184/12/894/9599290/kww113.pdf,BRONZE,American Journal of Epidemiology,2016
10.1016/j.joen.2016.04.010,,CLOSED,Journal of Endodontics,2016
10.1186/1745-6215-10-84,https://trialsjournal.biomedcentral.com/track/pdf/10.1186/1745-6215-10-84,GOLD,Trials,2009
10.1177/197140090902200505,,CLOSED,The Neuroradiology Journal,2009
10.1186/s12938-020-0758-7,https://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-020-0758-7,GOLD,BioMedical Engineering OnLine,2020
10.1109/EMBC.2014.6943533,https://upcommons.upc.edu/bitstream/2117/27549/1/Y2014_BGiraldo_IEEE_EMBS_Power_index_inspiratory_flow_signal_predictor_weaning_intensive_care_units.pdf,GREEN,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,2014
10.1002/chem.201301838,,CLOSED,Chemistry,2013
10.1080/14656566.2019.1614562,https://qspace.library.queensu.ca/bitstream/1974/26300/2/PHARMACOLOGICAL%20TREATMENT%20FOR%20INSOMNIA%20IN%20PATIENTS%20WITH%20MAJOR%20DEPRESSIVE%20DISORDER.pdf,GREEN,Expert Opinion on Pharmacotherapy,2019
10.1007/s10916-009-9381-7,,CLOSED,Journal of medical systems,2011
10.1109/TNNLS.2018.2870661,,CLOSED,IEEE Transactions on Neural Networks and Learning Systems,2019
10.1016/j.watres.2011.02.032,,CLOSED,Water Research,2011
10.1017/S1755020316000265,http://arxiv.org/pdf/1310.5076,GREEN,The Review of Symbolic Logic,2013
10.1007/978-3-030-63830-6_2,,CLOSED,International Conference on Neural Information Processing,2020
10.1109/INFCOM.2009.5062062,http://www.sommer.jp/distarr_infocom.pdf,GREEN,IEEE INFOCOM 2009,2009
10.1016/j.eswa.2018.01.050,,CLOSED,Expert systems with applications,2018
10.1109/ACSSC.2014.7094793,,CLOSED,"Asilomar Conference on Signals, Systems and Computers",2014
10.1016/j.jmbbm.2017.04.007,,CLOSED,Journal of The Mechanical Behavior of Biomedical Materials,2017
10.7717/peerj.3531,https://peerj.com/articles/3531.pdf,GOLD,PeerJ,2017
10.1002/ptr.2419,,CLOSED,Phytotherapy Research,2008
10.1016/j.biortech.2016.02.100,,CLOSED,Bioresource Technology,2016
10.5713/ajas.14.0413,http://www.ajas.info/upload/pdf/ajas-28-1-20.pdf,GOLD,Asian-Australasian Journal of Animal Sciences,2014
10.3390/cancers12051271,https://www.mdpi.com/2072-6694/12/5/1271/pdf?version=1589793777,GOLD,Cancers,2020
10.1097/BOR.0000000000000297,,CLOSED,Current Opinion in Rheumatology,2016
10.18383/j.tom.2020.00026,https://www.mdpi.com/2379-139X/6/4/373/pdf,GOLD,Tomography,2020
10.1002/bem.20529,https://scholarworks.montana.edu/xmlui/bitstream/1/12712/1/10-001_A_biofilm_growth_protocol_.pdf,GREEN,Bioelectromagnetics,2009
10.1002/ijc.23353,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijc.23353,BRONZE,International Journal of Cancer,2008
10.1128/JB.00246-08,https://europepmc.org/articles/pmc2447019?pdf=render,GREEN,Journal of Bacteriology,2008
10.1109/DEVLRN.2015.7346122,,CLOSED,Joint IEEE International Conference on Development and Learning and on Epigenetic Robotics,2015
10.1021/nl100750v,,CLOSED,Nano letters (Print),2010
10.1515/med-2015-0086,,CLOSED,Open Medicine,2015
10.1136/bcr-2012-007786,https://europepmc.org/articles/pmc3604362?pdf=render,GREEN,BMJ Case Reports,2013
10.1186/s40981-018-0148-3,https://jaclinicalreports.springeropen.com/track/pdf/10.1186/s40981-018-0148-3,GOLD,JA Clinical Reports,2018
10.1097/pq9.0000000000000095,,CLOSED,Pediatric Quality & Safety,2018
10.3238/arztebl.2012.0149a,https://europepmc.org/articles/pmc3301981?pdf=render,GREEN,Deutsches Ärzteblatt International,2012
10.1136/archdischild-2018-315993,,CLOSED,Archives of Disease in Childhood: Fetal and Neonatal Edition,2019
10.1016/j.carrev.2017.10.016,,CLOSED,Cardiovascular Revascularization Medicine,2017
10.1200/JCO.2010.30.0350,https://europepmc.org/articles/pmc2953968?pdf=render,GREEN,Journal of Clinical Oncology,2010
10.1111/j.1553-2712.2012.01440.x,,CLOSED,Academic Emergency Medicine,2012
10.1016/j.jphys.2017.08.004,,CLOSED,Journal of Physiotherapy,2017
10.11477/mf.1416201373,,CLOSED,Brain and nerve = Shinkei kenkyu no shinpo,2019
10.3390/molecules21121746,https://www.mdpi.com/1420-3049/21/12/1746/pdf?version=1482146935,GOLD,Molecules,2016
10.1002/bmc.3022,,CLOSED,Biomedical chromotography,2014
10.1136/bmjopen-2016-015303,https://bmjopen.bmj.com/content/bmjopen/7/7/e015303.full.pdf,GOLD,BMJ Open,2017
10.1109/ICCW.2013.6649392,,CLOSED,International Conference on Intelligent Cloud Computing,2013
10.1177/0162243920916235,https://journals.sagepub.com/doi/pdf/10.1177/0162243920916235,HYBRID,"Science, Technology and Human Values",2020
10.3934/mbe.2020318,,CLOSED,Mathematical biosciences and engineering : MBE,2020
10.1007/978-3-642-15822-3_22,,CLOSED,International Conference on Artificial Neural Networks,2010
10.1088/0953-8984/28/8/086003,http://arxiv.org/pdf/1508.00084,GREEN,Journal of Physics: Condensed Matter,2015
10.1188/16.CJON.11-12,,CLOSED,Clinical Journal of Oncology Nursing,2016
10.1016/j.vaccine.2019.01.073,,CLOSED,Vaccine,2019
10.1016/j.jenvrad.2017.01.003,,CLOSED,Journal of Environmental Radioactivity,2017
10.1371/journal.pone.0242485,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0242485&type=printable,GOLD,PLoS ONE,2020
10.1016/j.gene.2014.08.025,,CLOSED,Gene,2014
10.1007/s11250-018-1762-9,,CLOSED,Tropical Animal Health and Production,2018
10.1128/MRA.00272-19,https://mra.asm.org/content/ga/8/19/e00272-19.full.pdf,GOLD,Microbiology Resource Announcements,2019
10.1371/journal.pone.0182098,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0182098&type=printable,GOLD,PLoS ONE,2017
10.1038/s41598-018-20277-5,https://www.nature.com/articles/s41598-018-20277-5.pdf,GOLD,Scientific Reports,2018
10.1074/jbc.M109.024869,http://www.jbc.org/article/S002192582037664X/pdf,HYBRID,Journal of Biological Chemistry,2009
10.1016/j.drudis.2014.06.028,,CLOSED,Drug Discovery Today,2014
10.3892/etm.2018.6782,https://www.spandidos-publications.com/10.3892/etm.2018.6782/download,GOLD,Experimental and Therapeutic Medicine,2018
10.1200/JCO.2012.30.4_SUPPL.488,,CLOSED,Journal of Clinical Oncology,2012
10.1016/j.jchromb.2013.04.033,,CLOSED,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences",2013
10.1103/PHYSREVE.86.011705,https://www.pure.ed.ac.uk/ws/files/4927746/2012_PRE_Density_of_photon_states_in_DDCNLCs.pdf,GREEN,"Physical review. E, Statistical, nonlinear, and soft matter physics",2012
10.1364/JOCN.3.000426,,CLOSED,IEEE\/OSA Journal of Optical Communications and Networking,2011
10.1089/neu.2017.5184,https://europepmc.org/articles/pmc5863090?pdf=render,GREEN,Journal of Neurotrauma,2017
10.1136/bmjopen-2017-019039,https://bmjopen.bmj.com/content/bmjopen/8/4/e019039.full.pdf,GOLD,BMJ Open,2018
10.1007/s00234-016-1732-8,,CLOSED,Neuroradiology,2016
10.1590/S1518-8787.2016050006310,http://www.scielo.br/pdf/rsp/v50/0034-8910-rsp-S1518-87872016050006310.pdf,GOLD,Revista de Saúde Pública,2016
10.1016/j.amjcard.2011.09.039,,CLOSED,American Journal of Cardiology,2012
10.3760/CMA.J.ISSN.1673-0860.2015.09.010,,CLOSED,Zhonghua er bi yan hou tou jing wai ke za zhi = Chinese journal of otorhinolaryngology head and neck surgery,2015
10.2116/analsci.32.631,https://www.jstage.jst.go.jp/article/analsci/32/6/32_631/_pdf,GOLD,Analytical Sciences,2016
10.1021/acs.accounts.6b00272,https://europepmc.org/articles/pmc5102158?pdf=render,GREEN,Accounts of Chemical Research,2016
10.1021/acs.jpclett.6b01338,https://strathprints.strath.ac.uk/57012/1/Fritzsch_etal_JPCL2016_Encapsulating_Subsite_analogues_of_the_FeFe_hydrogenases.pdf,GREEN,Journal of Physical Chemistry Letters,2016
10.18999/nagjms.81.2.249,,CLOSED,Nagoya journal of medical science,2019
10.1177/1098214008319222,,CLOSED,,2008
10.1044/2015_AJSLP-14-0093,,CLOSED,American Journal of Speech-Language Pathology,2015
10.1109/TIE.2011.2165454,,CLOSED,IEEE transactions on industrial electronics (1982. Print),2012
10.1016/j.ress.2008.03.032,,CLOSED,Reliability Engineering & System Safety,2009
10.1016/j.dam.2009.02.004,,CLOSED,Discrete Applied Mathematics,2009
10.1007/978-3-642-33179-4_2,,CLOSED,International Symposium on Visual Computing,2012
10.1109/GLOCOM.2010.5683300,,CLOSED,2010 IEEE Global Telecommunications Conference GLOBECOM 2010,2010
10.1038/s41598-017-09039-x,https://www.nature.com/articles/s41598-017-09039-x.pdf,GOLD,Scientific Reports,2017
10.1177/1362480608093307,,CLOSED,,2008
10.1016/J.MEATSCI.2019.05.019,,CLOSED,Meat Science,2019
